id,energy_consumption,energy_effective,energy_waste
0,1046636374.0,770066010.0,276570364.0
1,1045294983.0,782013970.0,263281013.0
2,1044134954.0,778728300.0,265406654.0
3,1039734482.0,776098510.0,263635972.0
4,1036205163.0,769026710.0,267178453.0
5,1035807687.0,767541480.0,268266207.0
6,1035017622.0,765290360.0,269727262.0
7,1032286513.0,765130380.0,267156133.0
8,1025835854.0,759462110.0,266373744.0
9,1025813229.0,762619150.0,263194079.0
10,1025603269.0,761824380.0,263778889.0
11,1025531593.0,761345200.0,264186393.0
12,1024982982.0,761690050.0,263292932.0
13,1021779644.0,759322840.0,262456804.0
14,1021766250.0,758721110.0,263045140.0
15,1021766250.0,758711040.0,263055210.0
16,1017848324.0,747775970.0,270072354.0
17,1010628234.0,743025780.0,267602454.0
18,1009512188.0,741931000.0,267581188.0
19,1008373698.0,742527600.0,265846098.0
20,1009591104.0,743299380.0,266291724.0
21,1007965000.0,741182020.0,266782980.0
22,1008231432.0,740129990.0,268101442.0
23,1007364442.0,737830800.0,269533642.0
24,1003978113.0,732783450.0,271194663.0
25,1003918202.0,731585500.0,272332702.0
26,1003554030.0,730901500.0,272652530.0
27,1003537378.0,730619920.0,272917458.0
28,1002775187.0,730780850.0,271994337.0
29,1002635998.0,730652030.0,271983968.0
30,1005373080.0,734778450.0,270594630.0
31,1004186625.0,734350950.0,269835675.0
32,995787139.0,717065890.0,278721249.0
33,991042405.0,713491800.0,277550605.0
34,987246473.0,710083770.0,277162703.0
35,986049339.0,708177690.0,277871649.0
36,980024211.0,696825760.0,283198451.0
37,978534762.0,696840390.0,281694372.0
38,978870879.0,690656270.0,288214609.0
39,974588419.0,684609330.0,289979089.0
40,976817253.0,688284310.0,288532943.0
41,975669532.0,686929040.0,288740492.0
42,975188253.0,689155650.0,286032603.0
43,976042030.0,692698390.0,283343640.0
44,972372979.0,689749400.0,282623579.0
45,975152958.0,693754220.0,281398738.0
46,973647219.0,694127760.0,279519459.0
47,972020391.0,689845160.0,282175231.0
48,965706930.0,680436170.0,285270760.0
49,965664395.0,681023460.0,284640935.0
50,965279951.0,681340950.0,283939001.0
51,965331898.0,679297120.0,286034778.0
52,963598642.0,676246480.0,287352162.0
53,962977088.0,673162400.0,289814688.0
54,961643661.0,671698450.0,289945211.0
55,960230775.0,668807030.0,291423745.0
56,959297539.0,669712570.0,289584969.0
57,958144750.0,669196530.0,288948220.0
58,958786214.0,669068280.0,289717934.0
59,957697861.0,667836320.0,289861541.0
60,955848222.0,664971120.0,290877102.0
61,955572740.0,666595430.0,288977310.0
62,952881270.0,664996200.0,287885070.0
63,950976788.0,665782610.0,285194178.0
64,928088071.0,591780650.0,336307421.0
65,913107425.0,574019640.0,339087785.0
66,905464338.0,577858020.0,327606318.0
67,905559363.0,583113040.0,322446323.0
68,896059216.0,559049160.0,337010056.0
69,898087502.0,563467800.0,334619702.0
70,890229749.0,558986270.0,331243479.0
71,887925438.0,554817670.0,333107768.0
72,881292512.0,542633350.0,338659162.0
73,878422576.0,541216140.0,337206436.0
74,876952675.0,540884780.0,336067895.0
75,875570378.0,543544590.0,332025788.0
76,875249646.0,540577170.0,334672476.0
77,872628223.0,534051810.0,338576413.0
78,872121423.0,535727610.0,336393813.0
79,867913716.0,530816300.0,337097416.0
80,848821474.0,505523880.0,343297594.0
81,843850852.0,501811280.0,342039572.0
82,848322095.0,505200120.0,343121975.0
83,843199795.0,498354040.0,344845755.0
84,845615059.0,503857390.0,341757669.0
85,840147954.0,500535050.0,339612904.0
86,835157060.0,498435550.0,336721510.0
87,836313107.0,497598600.0,338714507.0
88,834471975.0,494587670.0,339884305.0
89,834488627.0,495739640.0,338748987.0
90,831303751.0,492611670.0,338692081.0
91,828277974.0,489892580.0,338385394.0
92,831873901.0,489879280.0,341994621.0
93,830349519.0,488544150.0,341805369.0
94,830178112.0,487878200.0,342299912.0
95,830057566.0,487560330.0,342497236.0
96,826315753.0,473508120.0,352807633.0
97,828643956.0,478361480.0,350282476.0
98,822666250.0,466882440.0,355783810.0
99,811437734.0,456316160.0,355121574.0
100,797511051.0,429489680.0,368021371.0
101,785439980.0,418777290.0,366662690.0
102,771287590.0,406355280.0,364932310.0
103,770934097.0,407471530.0,363462567.0
104,767787955.0,401202670.0,366585285.0
105,752448929.0,386007610.0,366441319.0
106,751266999.0,382734860.0,368532139.0
107,743808894.0,379450710.0,364358184.0
108,740390890.0,378266440.0,362124450.0
109,731270662.0,370281880.0,360988782.0
110,725829802.0,364517660.0,361312142.0
111,731273015.0,373795170.0,357477845.0
112,727531202.0,369421180.0,358110022.0
113,720521072.0,359924220.0,360596852.0
114,708822137.0,350559500.0,358262637.0
115,706379180.0,345440140.0,360939040.0
116,704972991.0,348847410.0,356125581.0
117,695610404.0,341354950.0,354255454.0
118,682884475.0,333693390.0,349191085.0
119,681478467.0,334151290.0,347327177.0
120,680972934.0,329912200.0,351060734.0
121,679167821.0,329853110.0,349314711.0
122,667758667.0,324494160.0,343264507.0
123,663613586.0,321187400.0,342426186.0
124,657084735.0,315150150.0,341934585.0
125,640527036.0,310086460.0,330440576.0
126,627147154.0,303708350.0,323438804.0
127,617086088.0,298245280.0,318840808.0
