id,energy_consumption,energy_effective,energy_waste
0,1016569544.0,745856780.0,270712764.0
1,1003809768.0,751181910.0,252627858.0
2,1000186510.0,750911160.0,249275350.0
3,1003508946.0,755925640.0,247583306.0
4,1001434505.0,746832810.0,254601695.0
5,998143201.0,746089340.0,252053861.0
6,994418583.0,745276330.0,249142253.0
7,993852596.0,743999340.0,249853256.0
8,986550513.0,735889000.0,250661513.0
9,981882523.0,729783730.0,252098793.0
10,981994200.0,733384040.0,248610160.0
11,981976462.0,732806250.0,249170212.0
12,982993320.0,731764100.0,251229220.0
13,983040199.0,733463080.0,249577119.0
14,981625141.0,733498040.0,248127101.0
15,981554008.0,732230930.0,249323078.0
16,977644951.0,729431090.0,248213861.0
17,973097507.0,725118090.0,247979417.0
18,968181366.0,720886410.0,247294956.0
19,967268402.0,719305990.0,247962412.0
20,968273314.0,721037650.0,247235664.0
21,967724703.0,718571640.0,249153063.0
22,968534135.0,718472650.0,250061485.0
23,967189486.0,718310770.0,248878716.0
24,968208516.0,716723700.0,251484816.0
25,963334729.0,714722810.0,248611919.0
26,962981960.0,713936210.0,249045750.0
27,960403796.0,711929050.0,248474746.0
28,961869896.0,718112030.0,243757866.0
29,960205239.0,713226560.0,246978679.0
30,960699007.0,715351140.0,245347867.0
31,958932266.0,712783480.0,246148786.0
32,963923160.0,703925110.0,259998050.0
33,962381945.0,702020740.0,260361205.0
34,961058654.0,701963170.0,259095484.0
35,960873129.0,700948950.0,259924179.0
36,952870576.0,688655950.0,264214626.0
37,954632068.0,687400430.0,267231638.0
38,955687841.0,687986010.0,267701831.0
39,953178276.0,685601130.0,267577146.0
40,951592897.0,685420440.0,266172457.0
41,949107405.0,682814970.0,266292435.0
42,947876243.0,678353770.0,269522473.0
43,949393747.0,681033720.0,268360027.0
44,949937109.0,684516040.0,265421069.0
45,948836810.0,683790810.0,265046000.0
46,946922554.0,679996700.0,266925854.0
47,945947326.0,679817340.0,266129986.0
48,941596629.0,677140810.0,264455819.0
49,938398721.0,677276660.0,261122061.0
50,936704199.0,672276810.0,264427389.0
51,936610622.0,671653800.0,264956822.0
52,935472494.0,670178070.0,265294424.0
53,934617812.0,668809880.0,265807932.0
54,934609486.0,669487800.0,265121686.0
55,934763155.0,670807350.0,263955805.0
56,933024107.0,668626720.0,264397387.0
57,932963834.0,669503950.0,263459884.0
58,932579571.0,667121160.0,265458411.0
59,933912093.0,670619630.0,263292463.0
60,934200969.0,673094000.0,261106969.0
61,932836048.0,670035380.0,262800668.0
62,926110812.0,661940050.0,264170762.0
63,925993524.0,662266470.0,263727054.0
64,896013046.0,595952100.0,300060946.0
65,878220384.0,574023820.0,304196564.0
66,872734093.0,572369870.0,300364223.0
67,863997042.0,562907870.0,301089172.0
68,866847249.0,565745140.0,301102109.0
69,861284395.0,562781900.0,298502495.0
70,854962427.0,559301670.0,295660757.0
71,853609814.0,560815400.0,292794414.0
72,854753734.0,559510290.0,295243444.0
73,851846512.0,559013630.0,292832882.0
74,843982786.0,547533450.0,296449336.0
75,847244949.0,552357740.0,294887209.0
76,850442495.0,556250460.0,294192035.0
77,847391378.0,552033790.0,295357588.0
78,850442676.0,557542080.0,292900596.0
79,845141005.0,550882770.0,294258235.0
80,826632669.0,525156200.0,301476469.0
81,824183196.0,520809760.0,303373436.0
82,827200104.0,525498390.0,301701714.0
83,824465194.0,519833730.0,304631464.0
84,824971451.0,517508130.0,307463321.0
85,825713913.0,519441570.0,306272343.0
86,822547137.0,515510090.0,307037047.0
87,823280368.0,518964670.0,304315698.0
88,822722707.0,520254580.0,302468127.0
89,818019965.0,513107540.0,304912425.0
90,820198119.0,515245230.0,304952889.0
91,819497468.0,516298020.0,303199448.0
92,819084788.0,517739740.0,301345048.0
93,822715286.0,519040290.0,303674996.0
94,820053681.0,518212840.0,301840841.0
95,814332452.0,512483010.0,301849442.0
96,815387320.0,499530140.0,315857180.0
97,806071069.0,488278720.0,317792349.0
98,801583536.0,486576700.0,315006836.0
99,796346120.0,481936330.0,314409790.0
100,770216779.0,445219400.0,324997379.0
101,758002537.0,437919410.0,320083127.0
102,752730731.0,428834370.0,323896361.0
103,752227913.0,428419980.0,323807933.0
104,740374223.0,411885990.0,328488233.0
105,744686548.0,422791800.0,321894748.0
106,734501497.0,411567360.0,322934137.0
107,727395075.0,401219580.0,326175495.0
108,701471531.0,372685760.0,328785771.0
109,695551564.0,372660870.0,322890694.0
110,699243602.0,379517400.0,319726202.0
111,691664589.0,368782020.0,322882569.0
112,685125240.0,356709420.0,328415820.0
113,676384750.0,359205260.0,317179490.0
114,687429551.0,370420010.0,317009541.0
115,683027269.0,366024740.0,317002529.0
116,670681078.0,351185360.0,319495718.0
117,659959181.0,343982460.0,315976721.0
118,656490678.0,340824850.0,315665828.0
119,655049918.0,337615940.0,317433978.0
120,656429862.0,341109090.0,315320772.0
121,653772601.0,342444220.0,311328381.0
122,656781907.0,344996110.0,311785797.0
123,644567484.0,339814240.0,304753244.0
124,632092602.0,325923910.0,306168692.0
125,612107668.0,312789210.0,299318458.0
126,603510711.0,308386720.0,295123991.0
127,580176553.0,297852930.0,282323623.0
