id,energy_consumption,energy_effective,energy_waste
0,1072978744.0,776830580.0,296148164.0
1,1066910357.0,786027340.0,280883017.0
2,1066391068.0,788616850.0,277774218.0
3,1063834624.0,787371590.0,276463034.0
4,1062795141.0,781610220.0,281184921.0
5,1061463524.0,778641660.0,282821864.0
6,1059568997.0,773777470.0,285791527.0
7,1057387223.0,770550130.0,286837093.0
8,1052881590.0,765281430.0,287600160.0
9,1051072676.0,768460130.0,282612546.0
10,1050947243.0,766560890.0,284386353.0
11,1050289670.0,764348910.0,285940760.0
12,1050518454.0,764425480.0,286092974.0
13,1050518454.0,765438750.0,285079704.0
14,1049634993.0,764593060.0,285041933.0
15,1049524040.0,764118060.0,285405980.0
16,1043277006.0,759665790.0,283611216.0
17,1038142036.0,753829940.0,284312096.0
18,1038295524.0,752901790.0,285393734.0
19,1040800745.0,755344050.0,285456695.0
20,1042004214.0,760057950.0,281946264.0
21,1041121658.0,758228820.0,282892838.0
22,1040903553.0,759687450.0,281216103.0
23,1039611937.0,757232840.0,282379097.0
24,1038022214.0,750890260.0,287131954.0
25,1038211359.0,749893140.0,288318219.0
26,1038715082.0,751827150.0,286887932.0
27,1038633089.0,751117500.0,287515589.0
28,1036996306.0,750367570.0,286628736.0
29,1036940739.0,750631290.0,286309449.0
30,1037244819.0,752068070.0,285176749.0
31,1037649354.0,752126970.0,285522384.0
32,1025975759.0,725097000.0,300878759.0
33,1025626972.0,728536000.0,297090972.0
34,1020712279.0,729212970.0,291499309.0
35,1018976489.0,725026130.0,293950359.0
36,1015529525.0,710535780.0,304993745.0
37,1015176756.0,709992000.0,305184756.0
38,1012634792.0,707532070.0,305102722.0
39,1010294824.0,706297830.0,303996994.0
40,1003182791.0,701728520.0,301454271.0
41,1001168261.0,698494150.0,302674111.0
42,998655981.0,696021300.0,302634681.0
43,999852572.0,695754540.0,304098032.0
44,1002009911.0,701425850.0,300584061.0
45,1001889546.0,701391650.0,300497896.0
46,1002618795.0,702795940.0,299822855.0
47,1002081044.0,703221730.0,298859314.0
48,997327803.0,696635000.0,300692803.0
49,996573757.0,694728540.0,301845217.0
50,994373883.0,691957770.0,302416113.0
51,995627308.0,695674550.0,299952758.0
52,996255559.0,697546620.0,298708939.0
53,995846137.0,696884470.0,298961667.0
54,992094550.0,688315470.0,303779080.0
55,991398243.0,688480770.0,302917473.0
56,992275912.0,688595150.0,303680762.0
57,991756261.0,687212140.0,304544121.0
58,990869723.0,685241270.0,305628453.0
59,988989857.0,683507140.0,305482717.0
60,988170108.0,681590230.0,306579878.0
61,987141123.0,677376220.0,309764903.0
62,985575292.0,677543420.0,308031872.0
63,985843534.0,677058160.0,308785374.0
64,962165838.0,588405680.0,373760158.0
65,939739214.0,571416260.0,368322954.0
66,935456030.0,570696730.0,364759300.0
67,935436844.0,574755700.0,360681144.0
68,929246825.0,559731070.0,369515755.0
69,925899230.0,555975720.0,369923510.0
70,921963385.0,550202380.0,371761005.0
71,918211436.0,547787670.0,370423766.0
72,910872248.0,533739830.0,377132418.0
73,908252273.0,535416960.0,372835313.0
74,904641323.0,530537760.0,374103563.0
75,901088655.0,530386900.0,370701755.0
76,905605691.0,535136140.0,370469551.0
77,903817049.0,533664970.0,370152079.0
78,902170130.0,534031100.0,368139030.0
79,902196918.0,534849810.0,367347108.0
80,884281538.0,507743840.0,376537698.0
81,879070910.0,504753050.0,374317860.0
82,877334758.0,503564410.0,373770348.0
83,872681248.0,499152040.0,373529208.0
84,870094215.0,500696930.0,369397285.0
85,870790522.0,501908940.0,368881582.0
86,865940265.0,496815990.0,369124275.0
87,863164087.0,494007030.0,369157057.0
88,861410016.0,489915760.0,371494256.0
89,859968351.0,490173210.0,369795141.0
90,859342815.0,489178370.0,370164445.0
91,857989478.0,488849860.0,369139618.0
92,859267157.0,488383980.0,370883177.0
93,856982032.0,484817870.0,372164162.0
94,857354892.0,485827150.0,371527742.0
95,855289682.0,482505950.0,372783732.0
96,848390505.0,459943450.0,388447055.0
97,841971883.0,454076250.0,387895633.0
98,836067120.0,445367220.0,390699900.0
99,841241005.0,451381670.0,389859335.0
100,814691563.0,408907360.0,405784203.0
101,798319027.0,401416040.0,396902987.0
102,792269283.0,386997700.0,405271583.0
103,790044974.0,387264460.0,402780514.0
104,782544334.0,380654360.0,401889974.0
105,778211918.0,376841440.0,401370478.0
106,773609269.0,376107660.0,397501609.0
107,763692279.0,360759840.0,402932439.0
108,746265056.0,343655090.0,402609966.0
109,748834894.0,346102860.0,402732034.0
110,746494564.0,343562180.0,402932384.0
111,742142057.0,338737320.0,403404737.0
112,740713967.0,331043840.0,409670127.0
113,734842146.0,325341180.0,409500966.0
114,723231901.0,320079700.0,403152201.0
115,723288011.0,325610220.0,397677791.0
116,713773927.0,317303230.0,396470697.0
117,707980841.0,315115000.0,392865841.0
118,699225328.0,309587900.0,389637428.0
119,693651795.0,305495110.0,388156685.0
120,682623646.0,303650590.0,378973056.0
121,669901699.0,294028800.0,375872899.0
122,660100911.0,290218920.0,369881991.0
123,650426823.0,286633620.0,363793203.0
124,635992978.0,283446560.0,352546418.0
125,633680522.0,285818330.0,347862192.0
126,621202201.0,278094260.0,343107941.0
127,601275549.0,274872620.0,326402929.0
