id,energy_consumption,energy_effective,energy_waste
0,1002639636.0,728702440.0,273937196.0
1,990111359.0,733021710.0,257089649.0
2,986124472.0,730984720.0,255139752.0
3,986159043.0,732598200.0,253560843.0
4,990282766.0,737616290.0,252666476.0
5,984001342.0,733361240.0,250640102.0
6,978772795.0,727382130.0,251390665.0
7,979631278.0,731058820.0,248572458.0
8,969839721.0,718797550.0,251042171.0
9,967485092.0,720098860.0,247386232.0
10,965961615.0,717180650.0,248780965.0
11,965575361.0,715979280.0,249596081.0
12,963817670.0,714586770.0,249230900.0
13,964385105.0,714776010.0,249609095.0
14,963680110.0,717199840.0,246480270.0
15,963687712.0,716582910.0,247104802.0
16,966045780.0,712964930.0,253080850.0
17,956295491.0,702805250.0,253490241.0
18,952537388.0,699076500.0,253460888.0
19,952637843.0,700181160.0,252456683.0
20,948979833.0,697808060.0,251171773.0
21,949576409.0,697865060.0,251711349.0
22,946830458.0,695412350.0,251418108.0
23,948364614.0,699133120.0,249231494.0
24,948846617.0,699252060.0,249594557.0
25,947793740.0,699047620.0,248746120.0
26,948169315.0,696461150.0,251708165.0
27,947658352.0,699996670.0,247661682.0
28,950733904.0,701695460.0,249038444.0
29,948962819.0,699702170.0,249260649.0
30,950877075.0,702666930.0,248210145.0
31,950175700.0,704369710.0,245805990.0
32,956848989.0,703798760.0,253050229.0
33,951760355.0,701187210.0,250573145.0
34,953613071.0,705313630.0,248299441.0
35,953539947.0,706295170.0,247244777.0
36,942736962.0,689717290.0,253019672.0
37,943056427.0,689508100.0,253548327.0
38,940790307.0,687375540.0,253414767.0
39,939973997.0,687651610.0,252322387.0
40,936602148.0,683499540.0,253102608.0
41,931941036.0,678843020.0,253098016.0
42,930047595.0,677802580.0,252245015.0
43,932214889.0,680823390.0,251391499.0
44,928279768.0,678101260.0,250178508.0
45,927659662.0,676793300.0,250866362.0
46,925717170.0,675243090.0,250474080.0
47,925415624.0,676151100.0,249264524.0
48,918902882.0,669298940.0,249603942.0
49,920976056.0,670018470.0,250957586.0
50,918856003.0,668375160.0,250480843.0
51,919158997.0,666889930.0,252269067.0
52,915910952.0,667142060.0,248768892.0
53,915601623.0,669400780.0,246200843.0
54,916887266.0,673122120.0,243765146.0
55,917855254.0,674930540.0,242924714.0
56,918709574.0,675420170.0,243289404.0
57,920421110.0,673996310.0,246424800.0
58,916950073.0,667028250.0,249921823.0
59,914978983.0,664710630.0,250268353.0
60,916790069.0,665373160.0,251416909.0
61,915770315.0,663968300.0,251802015.0
62,914134256.0,661941570.0,252192686.0
63,910047457.0,657403040.0,252644417.0
64,883091308.0,590114350.0,292976958.0
65,868242068.0,571040820.0,297201248.0
66,865532860.0,576816060.0,288716800.0
67,860315535.0,575197260.0,285118275.0
68,863551996.0,576328710.0,287223286.0
69,864016442.0,577178200.0,286838242.0
70,858712237.0,573012830.0,285699407.0
71,856796171.0,573634510.0,283161661.0
72,852326376.0,571903230.0,280423146.0
73,854822004.0,572506290.0,282315714.0
74,846901444.0,567012250.0,279889194.0
75,846306859.0,565013260.0,281293599.0
76,847398470.0,564271120.0,283127350.0
77,842451559.0,558301890.0,284149669.0
78,840296030.0,555778690.0,284517340.0
79,841889916.0,560000680.0,281889236.0
80,838789748.0,552729760.0,286059988.0
81,826862391.0,542186850.0,284675541.0
82,822149694.0,537233740.0,284915954.0
83,820446846.0,532801990.0,287644856.0
84,822012858.0,532892620.0,289120238.0
85,822947361.0,534280190.0,288667171.0
86,820159961.0,530539660.0,289620301.0
87,819202833.0,524272700.0,294930133.0
88,813946955.0,520631730.0,293315225.0
89,814891775.0,521350500.0,293541275.0
90,815714963.0,522083330.0,293631633.0
91,814771772.0,520147610.0,294624162.0
92,819864750.0,524709890.0,295154860.0
93,826119929.0,529316060.0,296803869.0
94,819517954.0,521703520.0,297814434.0
95,823142660.0,525040490.0,298102170.0
96,811244806.0,497832680.0,313412126.0
97,810138896.0,495555340.0,314583556.0
98,796416743.0,481180510.0,315236233.0
99,798249368.0,485660140.0,312589228.0
100,765926026.0,447361650.0,318564376.0
101,756803807.0,443904600.0,312899207.0
102,746816951.0,432771930.0,314045021.0
103,747588554.0,432205920.0,315382634.0
104,744190641.0,427566690.0,316623951.0
105,740951465.0,423253880.0,317697585.0
106,743480940.0,423668650.0,319812290.0
107,743485465.0,422923280.0,320562185.0
108,717728079.0,396397380.0,321330699.0
109,712982259.0,393655680.0,319326579.0
110,707658506.0,388504020.0,319154486.0
111,707225011.0,387383970.0,319841041.0
112,706724727.0,386557660.0,320167067.0
113,698532848.0,376414510.0,322118338.0
114,697224037.0,374451810.0,322772227.0
115,693758068.0,373173870.0,320584198.0
116,690402871.0,369154990.0,321247881.0
117,680083699.0,362734700.0,317348999.0
118,672226670.0,360658950.0,311567720.0
119,667957423.0,345125880.0,322831543.0
120,675217876.0,359649100.0,315568776.0
121,671677516.0,357044200.0,314633316.0
122,665685873.0,355107910.0,310577963.0
123,644533851.0,339172610.0,305361241.0
124,626241448.0,320894420.0,305347028.0
125,609511618.0,310552150.0,298959468.0
126,610059686.0,316969780.0,293089906.0
127,583511149.0,306842970.0,276668179.0
