job_id,subtime,start_time,finish_time,waiting_time
281,51189,53938.0,53955.0,2749.0
284,51268,54010.0,54014.0,2742.0
286,51310,54010.0,54054.0,2700.0
320,54127,54127.0,54138.0,0.0
289,51500,54200.0,54203.0,2700.0
287,51332,54200.0,54221.0,2868.0
283,51238,53938.0,54392.0,2700.0
299,52615,53528.0,54450.0,913.0
291,51818,54518.0,54524.0,2700.0
327,54595,54595.0,54607.0,0.0
294,51921,54621.0,54729.0,2700.0
296,52128,54828.0,54839.0,2700.0
255,47966,50868.0,55340.0,2902.0
336,55612,55612.0,55621.0,0.0
305,52912,55612.0,55624.0,2700.0
334,55313,55340.0,56547.0,27.0
304,52889,58413.0,58419.0,5524.0
307,52949,58419.0,58422.0,5470.0
309,53019,58422.0,58460.0,5403.0
310,53073,58460.0,58499.0,5387.0
316,53374,58499.0,58502.0,5125.0
318,53472,58502.0,58573.0,5030.0
319,53590,58573.0,58576.0,4983.0
338,56204,58904.0,58913.0,2700.0
308,52985,59325.0,59544.0,6340.0
348,59618,59618.0,59630.0,0.0
340,56769,59469.0,59693.0,2700.0
342,57140,59840.0,60072.0,2700.0
349,60189,60189.0,60199.0,0.0
350,60520,60520.0,60527.0,0.0
321,54151,58576.0,61265.0,4425.0
346,58762,61462.0,61563.0,2700.0
347,59334,62034.0,62046.0,2700.0
328,54673,63965.0,64126.0,9292.0
332,54889,64126.0,64379.0,9237.0
331,54885,64419.0,64639.0,9534.0
339,56706,64379.0,64666.0,7673.0
341,57078,64379.0,64673.0,7301.0
343,57412,64639.0,64754.0,7227.0
344,57863,64666.0,64849.0,6803.0
351,61042,64849.0,65096.0,3807.0
352,61049,65096.0,65382.0,4047.0
353,61418,65382.0,65625.0,3964.0
354,61496,65625.0,66520.0,4129.0
345,58126,64673.0,67356.0,6547.0
333,55252,66921.0,68189.0,11669.0
355,61686,70889.0,71110.0,9203.0
357,65100,72156.0,72167.0,7056.0
356,62660,71320.0,73994.0,8660.0
373,72005,74867.0,83945.0,2862.0
379,81088,86645.0,97570.0,5557.0
380,92020,97570.0,104529.0,5550.0
417,102247,104947.0,104951.0,2700.0
501,119099,121799.0,121808.0,2700.0
507,119642,122342.0,122350.0,2700.0
524,124269,126969.0,126977.0,2700.0
618,145195,147895.0,147910.0,2700.0
532,125455,128155.0,147916.0,2700.0
619,145220,150616.0,150632.0,5396.0
621,145531,150632.0,150739.0,5101.0
630,154804,157504.0,157600.0,2700.0
633,155847,157600.0,157993.0,1753.0
643,157733,157993.0,158105.0,260.0
634,156282,157993.0,158120.0,1711.0
641,157108,157993.0,158169.0,885.0
642,157454,158169.0,158333.0,715.0
650,158270,158333.0,158436.0,63.0
644,157899,158333.0,158463.0,434.0
652,158539,158539.0,158675.0,0.0
651,158407,158407.0,159208.0,0.0
654,158976,163400.0,163518.0,4424.0
656,159123,164008.0,164098.0,4885.0
657,159217,168898.0,178525.0,9681.0
672,187722,190422.0,190492.0,2700.0
673,187796,190492.0,191133.0,2696.0
739,204541,207241.0,207319.0,2700.0
740,204621,207321.0,207405.0,2700.0
746,204885,207319.0,207408.0,2434.0
748,204976,207405.0,207487.0,2429.0
741,204707,207407.0,207498.0,2700.0
750,205059,207408.0,207511.0,2349.0
744,204799,207499.0,207583.0,2700.0
751,205165,207487.0,207589.0,2322.0
755,205499,207583.0,207594.0,2084.0
752,205269,207498.0,207600.0,2229.0
753,205373,207511.0,207614.0,2138.0
770,209027,212308.0,212504.0,3281.0
772,209381,212314.0,214743.0,2933.0
878,233469,236169.0,236303.0,2700.0
886,234787,237487.0,237622.0,2700.0
887,234924,237624.0,237641.0,2700.0
900,237247,237641.0,237655.0,394.0
901,237286,237655.0,237674.0,369.0
898,237093,237622.0,237775.0,529.0
907,237802,237802.0,237945.0,0.0
908,237900,237945.0,237959.0,45.0
909,237947,237959.0,237979.0,12.0
910,237950,237979.0,237988.0,29.0
889,235535,238235.0,238482.0,2700.0
891,235949,239003.0,239188.0,3054.0
919,239820,242520.0,242661.0,2700.0
920,239963,242713.0,242730.0,2750.0
924,240319,242661.0,242913.0,2342.0
931,241575,242730.0,242938.0,1155.0
938,242281,242938.0,243110.0,657.0
933,241854,242913.0,243148.0,1059.0
921,240036,243207.0,243359.0,3171.0
942,243491,243491.0,243788.0,0.0
922,240190,243913.0,243932.0,3723.0
950,244806,247835.0,256924.0,3029.0
998,253899,259624.0,262661.0,5725.0
999,256940,262661.0,272425.0,5721.0
1026,272013,272425.0,272430.0,412.0
1027,272022,272425.0,272430.0,403.0
1025,271998,272425.0,272433.0,427.0
1028,272030,272425.0,272433.0,395.0
1033,272285,272425.0,272729.0,140.0
1001,266712,272425.0,273890.0,5713.0
1042,274132,277150.0,277158.0,3018.0
1044,274279,277150.0,277159.0,2871.0
1045,274462,277162.0,277169.0,2700.0
1046,274564,277264.0,277270.0,2700.0
1047,274676,277376.0,277387.0,2700.0
1050,275093,277793.0,277808.0,2700.0
1053,275186,277886.0,277895.0,2700.0
1057,275933,278633.0,278644.0,2700.0
1059,276247,278947.0,278962.0,2700.0
1064,276685,279385.0,279395.0,2700.0
1066,276930,279630.0,279637.0,2700.0
1081,279644,279644.0,279651.0,0.0
1000,266709,272425.0,281566.0,5716.0
1091,281405,281566.0,282814.0,161.0
1087,280995,283695.0,283965.0,2700.0
1090,281267,283967.0,283984.0,2700.0
1099,282654,285354.0,285375.0,2700.0
1107,283540,287614.0,287617.0,4074.0
1103,283113,287614.0,287634.0,4501.0
1102,283065,287614.0,287635.0,4549.0
1117,284828,287614.0,287635.0,2786.0
1108,283678,287614.0,287637.0,3936.0
