id,energy_consumption,energy_effective,energy_waste
0,963423217.0,700351210.0,263072007.0
1,961087593.0,707720170.0,253367423.0
2,963674264.0,720949680.0,242724584.0
3,964002598.0,724233070.0,239769528.0
4,961674757.0,717582690.0,244092067.0
5,955352427.0,713648170.0,241704257.0
6,949094352.0,706487830.0,242606522.0
7,948641852.0,708286180.0,240355672.0
8,948776154.0,708802220.0,239973934.0
9,944700577.0,709281400.0,235419177.0
10,943182530.0,709545120.0,233637410.0
11,936525169.0,700328790.0,236196379.0
12,937660039.0,701052120.0,236607919.0
13,938342590.0,704179710.0,234162880.0
14,937948191.0,704253810.0,233694381.0
15,943275383.0,708344890.0,234930493.0
16,937793979.0,701193480.0,236600499.0
17,933032231.0,700290980.0,232741251.0
18,932994402.0,703847970.0,229146432.0
19,935320252.0,707132120.0,228188132.0
20,934378147.0,707355180.0,227022967.0
21,934314616.0,706828310.0,227486306.0
22,931053720.0,702095600.0,228958120.0
23,929301459.0,701058200.0,228243259.0
24,925784086.0,697930040.0,227854046.0
25,923041755.0,694592120.0,228449635.0
26,923438869.0,694517830.0,228921039.0
27,924430206.0,698648050.0,225782156.0
28,928662891.0,701494060.0,227168831.0
29,925390230.0,699585130.0,225805100.0
30,926684923.0,701150920.0,225534003.0
31,929130414.0,701552580.0,227577834.0
32,931555452.0,695619260.0,235936192.0
33,935190656.0,698306240.0,236884416.0
34,931862247.0,697066680.0,234795567.0
35,926877145.0,691351480.0,235525665.0
36,929819119.0,695635600.0,234183519.0
37,924665144.0,688097730.0,236567414.0
38,923350541.0,688683500.0,234667041.0
39,919648729.0,686264800.0,233383929.0
40,921005324.0,683687640.0,237317684.0
41,922954332.0,687349320.0,235605012.0
42,923127006.0,691341790.0,231785216.0
43,919340848.0,685970490.0,233370358.0
44,910958376.0,673789590.0,237168786.0
45,913465950.0,679110350.0,234355600.0
46,915306177.0,684326610.0,230979567.0
47,913917907.0,680306210.0,233611697.0
48,906043321.0,669937530.0,236105791.0
49,904124721.0,667789010.0,236335711.0
50,903847067.0,669094690.0,234752377.0
51,909806492.0,676481700.0,233324792.0
52,911085257.0,679302630.0,231782627.0
53,907578382.0,674522610.0,233055772.0
54,907241360.0,674012650.0,233228710.0
55,908492613.0,676646430.0,231846183.0
56,909123579.0,678270550.0,230853029.0
57,911601288.0,680602990.0,230998298.0
58,909037966.0,675225990.0,233811976.0
59,908807734.0,678907430.0,229900304.0
60,906798634.0,675106670.0,231691964.0
61,905535616.0,674118670.0,231416946.0
62,904192234.0,674547310.0,229644924.0
63,900463634.0,669628780.0,230834854.0
64,866251376.0,595791170.0,270460206.0
65,847690912.0,579544840.0,268146072.0
66,847156600.0,582932160.0,264224440.0
67,845856658.0,583171560.0,262685098.0
68,844722874.0,573244630.0,271478244.0
69,841060158.0,574282220.0,266777938.0
70,835701834.0,570244150.0,265457684.0
71,830134636.0,565838240.0,264296396.0
72,829113253.0,561941530.0,267171723.0
73,826250376.0,558360790.0,267889586.0
74,822903143.0,555712000.0,267191143.0
75,821607183.0,552261600.0,269345583.0
76,821562295.0,554520700.0,267041595.0
77,823473655.0,560835160.0,262638495.0
78,826247661.0,562990140.0,263257521.0
79,819064314.0,554432160.0,264632154.0
80,809945172.0,541620840.0,268324332.0
81,808535363.0,539938960.0,268596403.0
82,802031852.0,530890780.0,271141072.0
83,791343078.0,516690370.0,274652708.0
84,795332318.0,522241410.0,273090908.0
85,796024824.0,520903810.0,275121014.0
86,792612250.0,516848830.0,275763420.0
87,798279903.0,520335330.0,277944573.0
88,798846071.0,524221780.0,274624291.0
89,807818965.0,531940150.0,275878815.0
90,801423873.0,525901190.0,275522683.0
91,801949497.0,529376670.0,272572827.0
92,793673091.0,516498660.0,277174431.0
93,797165848.0,521673120.0,275492728.0
94,797802063.0,523954260.0,273847803.0
95,793140770.0,518982720.0,274158050.0
96,787189128.0,505539840.0,281649288.0
97,775761512.0,497226770.0,278534742.0
98,780697925.0,500080380.0,280617545.0
99,775713004.0,490797170.0,284915834.0
100,742406651.0,449806950.0,292599701.0
101,745551526.0,452709770.0,292841756.0
102,740115734.0,448162310.0,291953424.0
103,743241604.0,454524650.0,288716954.0
104,724675891.0,439754810.0,284921081.0
105,724672995.0,433303360.0,291369635.0
106,724744128.0,432031310.0,292712818.0
107,721464589.0,428262470.0,293202119.0
108,708327247.0,412531610.0,295795637.0
109,701422278.0,405592430.0,295829848.0
110,701555313.0,405695030.0,295860283.0
111,693439635.0,399853670.0,293585965.0
112,686281809.0,389216900.0,297064909.0
113,690835950.0,392600800.0,298235150.0
114,684792541.0,389130070.0,295662471.0
115,684090623.0,392305350.0,291785273.0
116,669486276.0,374216970.0,295269306.0
117,667139611.0,373195340.0,293944271.0
118,655858967.0,363562530.0,292296437.0
119,654303453.0,365149030.0,289154423.0
120,656543328.0,366014100.0,290529228.0
121,653596467.0,368549080.0,285047387.0
122,641402497.0,353228050.0,288174447.0
123,627574821.0,344451950.0,283122871.0
124,612657706.0,333564380.0,279093326.0
125,596691515.0,323135470.0,273556045.0
126,599003428.0,325698950.0,273304478.0
127,574511413.0,311266170.0,263245243.0
