id,energy_consumption,energy_effective,energy_waste
0,939157602.0,674147550.0,265010052.0
1,949616144.0,707244220.0,242371924.0
2,941273854.0,695936180.0,245337674.0
3,933388770.0,685142850.0,248245920.0
4,936026121.0,691662320.0,244363801.0
5,932906586.0,696707010.0,236199576.0
6,935578146.0,701417110.0,234161036.0
7,934744098.0,701508500.0,233235598.0
8,932023849.0,690567160.0,241456689.0
9,931656962.0,693660550.0,237996412.0
10,930930790.0,694275010.0,236655780.0
11,923723732.0,686242950.0,237480782.0
12,927204543.0,695543830.0,231660713.0
13,922421980.0,688065050.0,234356930.0
14,921091992.0,683752430.0,237339562.0
15,915972226.0,681467870.0,234504356.0
16,921726578.0,686362650.0,235363928.0
17,920511887.0,691354140.0,229157747.0
18,917459684.0,685992910.0,231466774.0
19,918023680.0,688278420.0,229745260.0
20,916502375.0,689389920.0,227112455.0
21,916931164.0,690779580.0,226151584.0
22,914708665.0,683454130.0,231254535.0
23,912623907.0,678917690.0,233706217.0
24,914364403.0,681962060.0,232402343.0
25,915273023.0,687218220.0,228054803.0
26,916673239.0,689523870.0,227149369.0
27,915936931.0,689466300.0,226470631.0
28,918286673.0,692565010.0,225721663.0
29,918602156.0,694519730.0,224082426.0
30,922523702.0,696410230.0,226113472.0
31,920600396.0,694361270.0,226239126.0
32,910054612.0,671526120.0,238528492.0
33,912817034.0,674746240.0,238070794.0
34,912496845.0,679998410.0,232498435.0
35,912986631.0,680363020.0,232623611.0
36,914147022.0,677553300.0,236593722.0
37,911437995.0,674660170.0,236777825.0
38,907440791.0,671272470.0,236168321.0
39,908824174.0,678497790.0,230326384.0
40,905948265.0,676423560.0,229524705.0
41,907410564.0,675105530.0,232305034.0
42,907294362.0,676142170.0,231152192.0
43,904594204.0,673446830.0,231147374.0
44,903612641.0,672462440.0,231150201.0
45,903946043.0,671051500.0,232894543.0
46,904214104.0,669192350.0,235021754.0
47,903489380.0,668967960.0,234521420.0
48,894046972.0,654863880.0,239183092.0
49,898120196.0,658760020.0,239360176.0
50,899497606.0,662319290.0,237178316.0
51,902225095.0,663740870.0,238484225.0
52,903915454.0,665745370.0,238170084.0
53,904380624.0,671144410.0,233236214.0
54,900882256.0,669603320.0,231278936.0
55,899343575.0,665306280.0,234037295.0
56,899162394.0,667556070.0,231606324.0
57,896287209.0,667056560.0,229230649.0
58,900606231.0,674121710.0,226484521.0
59,896508753.0,672733380.0,223775373.0
60,899326380.0,676469730.0,222856650.0
61,902315776.0,677476160.0,224839616.0
62,898542288.0,670556550.0,227985738.0
63,892196609.0,660578890.0,231617719.0
64,869281104.0,616124590.0,253156514.0
65,841458146.0,583293160.0,258164986.0
66,845301862.0,593148650.0,252153212.0
67,846979370.0,595452590.0,251526780.0
68,843064883.0,592015110.0,251049773.0
69,847585177.0,600985580.0,246599597.0
70,836193942.0,587930300.0,248263642.0
71,834606934.0,590656610.0,243950324.0
72,830412802.0,583789060.0,246623742.0
73,824748950.0,575829200.0,248919750.0
74,821585794.0,570728270.0,250857524.0
75,827120412.0,577812420.0,249307992.0
76,823444664.0,574622510.0,248822154.0
77,818977946.0,572222810.0,246755136.0
78,823886666.0,577305500.0,246581166.0
79,824772661.0,577227220.0,247545441.0
80,801617150.0,550605370.0,251011780.0
81,802988225.0,556428110.0,246560115.0
82,806762256.0,561763690.0,244998566.0
83,805012348.0,558935920.0,246076428.0
84,804129068.0,553732200.0,250396868.0
85,794604124.0,543447500.0,251156624.0
86,795719627.0,548446590.0,247273037.0
87,792427237.0,541697410.0,250729827.0
88,802342055.0,555247640.0,247094415.0
89,797663748.0,545295440.0,252368308.0
90,799636829.0,547204370.0,252432459.0
91,797254869.0,543140650.0,254114219.0
92,796112759.0,540836520.0,255276239.0
93,799009845.0,541568400.0,257441445.0
94,798616894.0,545210890.0,253406004.0
95,794599418.0,538867360.0,255732058.0
96,786668179.0,524601210.0,262066969.0
97,779097673.0,519798390.0,259299283.0
98,774710233.0,514991770.0,259718463.0
99,769970205.0,510395100.0,259575105.0
100,736188184.0,458360370.0,277827814.0
101,718332353.0,443168730.0,275163623.0
102,718780147.0,446402150.0,272377997.0
103,725883492.0,453085590.0,272797902.0
104,730099887.0,458681850.0,271418037.0
105,711682232.0,434656920.0,277025312.0
106,708785870.0,438766050.0,270019820.0
107,700143663.0,422118440.0,278025223.0
108,685221480.0,405258410.0,279963070.0
109,683206950.0,404437800.0,278769150.0
110,694475829.0,415769020.0,278706809.0
111,678354702.0,392426380.0,285928322.0
112,683522433.0,400967260.0,282555173.0
113,672465867.0,396812530.0,275653337.0
114,656547822.0,382397230.0,274150592.0
115,654158260.0,381895440.0,272262820.0
116,652947732.0,370399300.0,282548432.0
117,645293966.0,369132380.0,276161586.0
118,639389927.0,360939390.0,278450537.0
119,652304096.0,384293050.0,268011046.0
120,636883077.0,365338650.0,271544427.0
121,628623323.0,360808860.0,267814463.0
122,628499338.0,362343490.0,266155848.0
123,617498701.0,350785030.0,266713671.0
124,603255268.0,340613570.0,262641698.0
125,606535712.0,346265120.0,260270592.0
126,595821417.0,336225900.0,259595517.0
127,571416463.0,318892580.0,252523883.0
