id,energy_consumption,energy_effective,energy_waste
0,1053585147.0,762132180.0,291452967.0
1,1050210764.0,778087810.0,272122954.0
2,1053147670.0,784665800.0,268481870.0
3,1051644827.0,783309200.0,268335627.0
4,1049235355.0,775920480.0,273314875.0
5,1048289992.0,776336010.0,271953982.0
6,1044670897.0,769386190.0,275284707.0
7,1043059454.0,769104610.0,273954844.0
8,1037730995.0,763467880.0,274263115.0
9,1035645513.0,764887750.0,270757763.0
10,1034792279.0,762260810.0,272531469.0
11,1034697254.0,762073470.0,272623784.0
12,1034668475.0,762046300.0,272622175.0
13,1034960066.0,761794930.0,273165136.0
14,1034976175.0,760994270.0,273981905.0
15,1033939407.0,761197380.0,272742027.0
16,1028847334.0,751804160.0,277043174.0
17,1023116693.0,747266010.0,275850683.0
18,1021749419.0,744416960.0,277332459.0
19,1021713219.0,743775140.0,277938079.0
20,1021665254.0,745886800.0,275778454.0
21,1019941410.0,743880590.0,276060820.0
22,1019941410.0,743235730.0,276705680.0
23,1019862132.0,743323320.0,276538812.0
24,1017476190.0,739642640.0,277833550.0
25,1015649538.0,736652420.0,278997118.0
26,1013663063.0,735881020.0,277782043.0
27,1013643515.0,735711920.0,277931595.0
28,1013055446.0,735676390.0,277379056.0
29,1013040966.0,736246390.0,276794576.0
30,1013412016.0,737239330.0,276172686.0
31,1013162960.0,737340980.0,275821980.0
32,1003822093.0,713795040.0,290027053.0
33,1002060420.0,711185960.0,290874460.0
34,997352248.0,709661210.0,287691038.0
35,997350619.0,711430300.0,285920319.0
36,995515822.0,692942350.0,302573472.0
37,995952213.0,695044510.0,300907703.0
38,996700829.0,694962050.0,301738779.0
39,994315068.0,693988490.0,300326578.0
40,993781842.0,695342810.0,298439032.0
41,992663624.0,693575050.0,299088574.0
42,989357659.0,691912550.0,297445109.0
43,989153129.0,690982880.0,298170249.0
44,989262091.0,694775280.0,294486811.0
45,986199028.0,689876130.0,296322898.0
46,984135990.0,688974010.0,295161980.0
47,984003136.0,686819600.0,297183536.0
48,977282787.0,673634930.0,303647857.0
49,978963553.0,680237240.0,298726313.0
50,975112959.0,678636300.0,296476659.0
51,975466633.0,681135180.0,294331453.0
52,977435551.0,682734220.0,294701331.0
53,977752301.0,682035210.0,295717091.0
54,973324317.0,675463110.0,297861207.0
55,972680500.0,675003690.0,297676810.0
56,973234903.0,677285210.0,295949693.0
57,971318294.0,674125890.0,297192404.0
58,967805084.0,669117490.0,298687594.0
59,967747707.0,669472030.0,298275677.0
60,970758461.0,671129210.0,299629251.0
61,967149321.0,666869030.0,300280291.0
62,967164344.0,667020080.0,300144264.0
63,966892844.0,668130440.0,298762404.0
64,948659085.0,600108160.0,348550925.0
65,921983486.0,576657790.0,345325696.0
66,919484781.0,576155430.0,343329351.0
67,919095993.0,576644680.0,342451313.0
68,909482902.0,558899250.0,350583652.0
69,909816485.0,563568500.0,346247985.0
70,909242353.0,553343840.0,355898513.0
71,905056004.0,554302010.0,350753994.0
72,898251852.0,541878100.0,356373752.0
73,902168873.0,550538300.0,351630573.0
74,897698897.0,549297980.0,348400917.0
75,895834959.0,548743560.0,347091399.0
76,891081537.0,543384800.0,347696737.0
77,890513740.0,540554750.0,349958990.0
78,889112438.0,538510730.0,350601708.0
79,887181530.0,536506230.0,350675300.0
80,877393412.0,516798100.0,360595312.0
81,870736232.0,510801320.0,359934912.0
82,867197863.0,510518600.0,356679263.0
83,865624249.0,511249530.0,354374719.0
84,863020745.0,508131060.0,354889685.0
85,860957888.0,506601370.0,354356518.0
86,857778623.0,504751340.0,353027283.0
87,857154173.0,505473150.0,351681023.0
88,854445327.0,502493950.0,351951377.0
89,854426141.0,502626570.0,351799571.0
90,856051159.0,504951600.0,351099559.0
91,852153686.0,500748610.0,351405076.0
92,854705967.0,503702540.0,351003427.0
93,853557884.0,501765870.0,351792014.0
94,848207162.0,495970680.0,352236482.0
95,850433100.0,497123220.0,353309880.0
96,837234399.0,465659220.0,371575179.0
97,835583317.0,463352050.0,372231267.0
98,829090123.0,457109220.0,371980903.0
99,824470279.0,455167230.0,369303049.0
100,798762487.0,410288280.0,388474207.0
101,788137968.0,415824310.0,372313658.0
102,782645885.0,406627930.0,376017955.0
103,777990384.0,404246850.0,373743534.0
104,772924737.0,400021630.0,372903107.0
105,767587952.0,393331160.0,374256792.0
106,769559223.0,394760150.0,374799073.0
107,760038804.0,385183200.0,374855604.0
108,743893423.0,369449490.0,374443933.0
109,738143777.0,365353660.0,372790117.0
110,738953390.0,363673300.0,375280090.0
111,737766392.0,359846890.0,377919502.0
112,733617510.0,349143240.0,384474270.0
113,723034802.0,339357480.0,383677322.0
114,712365214.0,332880570.0,379484644.0
115,708380137.0,329875910.0,378504227.0
116,699232397.0,321734600.0,377497797.0
117,696244811.0,321296080.0,374948731.0
118,686301938.0,315794440.0,370507498.0
119,682614063.0,313904700.0,368709363.0
120,676428569.0,307389600.0,369038969.0
121,669554008.0,305247350.0,364306658.0
122,659654756.0,300217290.0,359437466.0
123,655533567.0,300381830.0,355151737.0
124,645495669.0,296364090.0,349131579.0
125,632587835.0,291574570.0,341013265.0
126,616341275.0,287826250.0,328515025.0
127,602646272.0,282732350.0,319913922.0
