id,energy_consumption,energy_effective,energy_waste
0,1025545524.0,764033700.0,261511824.0
1,1012001113.0,761964410.0,250036703.0
2,1012916249.0,762195830.0,250720419.0
3,1014225784.0,765484350.0,248741434.0
4,1007200269.0,752861510.0,254338759.0
5,1005262483.0,750628820.0,254633663.0
6,1000760832.0,748846430.0,251914402.0
7,1001715969.0,748084150.0,253631819.0
8,994169536.0,739595140.0,254574396.0
9,989664084.0,739583170.0,250080914.0
10,990415958.0,740188510.0,250227448.0
11,989362900.0,740730580.0,248632320.0
12,990314417.0,740634250.0,249680167.0
13,990215048.0,740605370.0,249609678.0
14,988166852.0,738558310.0,249608542.0
15,988163594.0,738166530.0,249997064.0
16,982886901.0,729523620.0,253363281.0
17,982527616.0,732897450.0,249630166.0
18,977092910.0,728315030.0,248777880.0
19,977550659.0,727930470.0,249620189.0
20,979571524.0,730349740.0,249221784.0
21,977253819.0,727186430.0,250067389.0
22,976064830.0,724013620.0,252051210.0
23,975327074.0,724978440.0,250348634.0
24,974144601.0,721685740.0,252458861.0
25,973920523.0,720967350.0,252953173.0
26,973899346.0,720412170.0,253487176.0
27,972653523.0,720213430.0,252440093.0
28,971325526.0,719935270.0,251390256.0
29,969161671.0,718351810.0,250809861.0
30,972189077.0,724008870.0,248180207.0
31,972574064.0,723195100.0,249378964.0
32,975789710.0,710136590.0,265653120.0
33,969915717.0,701999840.0,267915877.0
34,967375925.0,704147220.0,263228705.0
35,967136824.0,703577410.0,263559414.0
36,964037199.0,693415260.0,270621939.0
37,961969093.0,694714290.0,267254803.0
38,959984609.0,694865910.0,265118699.0
39,958299499.0,693693990.0,264605509.0
40,961059568.0,698309470.0,262750098.0
41,960308599.0,694659000.0,265649599.0
42,958576972.0,689323990.0,269252982.0
43,957338570.0,687495430.0,269843140.0
44,956621991.0,689333680.0,267288311.0
45,957844465.0,692067780.0,265776685.0
46,958508192.0,693775310.0,264732882.0
47,957867995.0,692829110.0,265038885.0
48,951083029.0,684763230.0,266319799.0
49,950463104.0,685080340.0,265382764.0
50,950580754.0,689079270.0,261501484.0
51,946065528.0,683981760.0,262083768.0
52,946613958.0,682760630.0,263853328.0
53,947325650.0,683607460.0,263718190.0
54,943430711.0,677461150.0,265969561.0
55,943486097.0,674945930.0,268540167.0
56,941992123.0,671356450.0,270635673.0
57,940361132.0,670647750.0,269713382.0
58,942002078.0,670701140.0,271300938.0
59,942926626.0,672512220.0,270414406.0
60,946676584.0,672949600.0,273726984.0
61,946489973.0,672343120.0,274146853.0
62,939037479.0,662021940.0,277015539.0
63,938518552.0,662116180.0,276402372.0
64,909978472.0,599385780.0,310592692.0
65,895049592.0,580875790.0,314173802.0
66,885248623.0,569674150.0,315574473.0
67,881141009.0,568284870.0,312856139.0
68,870895504.0,549989010.0,320906494.0
69,874429710.0,558005110.0,316424600.0
70,869319175.0,553174170.0,316145005.0
71,867658862.0,551497420.0,316161442.0
72,862828153.0,543884690.0,318943463.0
73,860688371.0,543381950.0,317306421.0
74,854801889.0,541585500.0,313216389.0
75,855765533.0,542072470.0,313693063.0
76,854863067.0,540942160.0,313920907.0
77,853239135.0,537657060.0,315582075.0
78,854173457.0,537845350.0,316328107.0
79,855267783.0,538837150.0,316430633.0
80,842419498.0,512080780.0,330338718.0
81,840204239.0,513987240.0,326216999.0
82,840098716.0,514180470.0,325918246.0
83,838707007.0,516374020.0,322332987.0
84,838990453.0,516531910.0,322458543.0
85,837861918.0,515854750.0,322007168.0
86,837486705.0,515500590.0,321986115.0
87,839842963.0,512347160.0,327495803.0
88,834371152.0,509549030.0,324822122.0
89,833954490.0,510936410.0,323018080.0
90,831611988.0,505990140.0,325621848.0
91,830916043.0,505261110.0,325654933.0
92,838365822.0,513387220.0,324978602.0
93,834601022.0,507079790.0,327521232.0
94,823922384.0,496964380.0,326958004.0
95,825284409.0,496302420.0,328981989.0
96,814183498.0,469343320.0,344840178.0
97,810006742.0,471684880.0,338321862.0
98,800644698.0,467734400.0,332910298.0
99,791537321.0,460300270.0,331237051.0
100,777507287.0,432931530.0,344575757.0
101,766272798.0,428065250.0,338207548.0
102,762505102.0,422296850.0,340208252.0
103,763765767.0,430659130.0,333106637.0
104,748852453.0,410673980.0,338178473.0
105,734134257.0,395480820.0,338653437.0
106,736320013.0,395462390.0,340857623.0
107,732067418.0,391876140.0,340191278.0
108,724504152.0,387850800.0,336653352.0
109,721681276.0,386095200.0,335586076.0
110,718069240.0,383973090.0,334096150.0
111,712052438.0,378945120.0,333107318.0
112,726388724.0,394917660.0,331471064.0
113,714035293.0,385465160.0,328570133.0
114,708052881.0,383925780.0,324127101.0
115,704223826.0,376980140.0,327243686.0
116,689738034.0,355837510.0,333900524.0
117,679956975.0,348518520.0,331438455.0
118,677406685.0,348122750.0,329283935.0
119,668718323.0,338083340.0,330634983.0
120,656818840.0,324424620.0,332394220.0
121,649930161.0,318123650.0,331806511.0
122,640960706.0,315125640.0,325835066.0
123,627869519.0,308461580.0,319407939.0
124,623986164.0,311862200.0,312123964.0
125,608222331.0,306286650.0,301935681.0
126,600271544.0,300900720.0,299370824.0
127,572672664.0,285812630.0,286860034.0
