id,energy_consumption,energy_effective,energy_waste
0,977387153.0,702207130.0,275180023.0
1,980864706.0,724050860.0,256813846.0
2,970039277.0,719895940.0,250143337.0
3,972800794.0,725056530.0,247744264.0
4,973817109.0,728681160.0,245135949.0
5,972255984.0,728336500.0,243919484.0
6,970909163.0,729411140.0,241498023.0
7,971236954.0,729991400.0,241245554.0
8,966099450.0,721631020.0,244468430.0
9,959470506.0,716486390.0,242984116.0
10,962312025.0,719385410.0,242926615.0
11,961360689.0,718009810.0,243350879.0
12,961128828.0,715510930.0,245617898.0
13,953461487.0,707612060.0,245849427.0
14,953751268.0,713223900.0,240527368.0
15,951144144.0,708605000.0,242539144.0
16,953551444.0,710539200.0,243012244.0
17,947424232.0,707379880.0,240044352.0
18,944760998.0,708248560.0,236512438.0
19,946656611.0,710683980.0,235972631.0
20,945360651.0,709046560.0,236314091.0
21,944496195.0,707501290.0,236994905.0
22,940044681.0,702242850.0,237801831.0
23,939832911.0,702693530.0,237139381.0
24,944103606.0,707319650.0,236783956.0
25,938874154.0,701414640.0,237459514.0
26,940039613.0,700666610.0,239373003.0
27,941728705.0,704581560.0,237147145.0
28,941261544.0,706460280.0,234801264.0
29,943631196.0,709513770.0,234117426.0
30,941901741.0,708169140.0,233732601.0
31,942726196.0,710137920.0,232588276.0
32,946627470.0,708897410.0,237730060.0
33,942214147.0,705943100.0,236271047.0
34,943230462.0,706202640.0,237027822.0
35,941914773.0,703201780.0,238712993.0
36,936628668.0,695621920.0,241006748.0
37,939546388.0,698089260.0,241457128.0
38,935833354.0,697566380.0,238266974.0
39,933271118.0,696001160.0,237269958.0
40,934025707.0,692718720.0,241306987.0
41,938139475.0,698661160.0,239478315.0
42,934826089.0,696844570.0,237981519.0
43,932384399.0,696061390.0,236323009.0
44,930860922.0,690996180.0,239864742.0
45,929389392.0,689207140.0,240182252.0
46,929519712.0,687441090.0,242078622.0
47,927569075.0,687499990.0,240069085.0
48,923713232.0,679357920.0,244355312.0
49,924944937.0,677935200.0,247009737.0
50,922463246.0,679130300.0,243332946.0
51,920719311.0,679303580.0,241415731.0
52,919202531.0,678958350.0,240244181.0
53,921094162.0,682819150.0,238275012.0
54,919976668.0,682497480.0,237479188.0
55,919335204.0,683035370.0,236299834.0
56,921762957.0,683157160.0,238605797.0
57,923792872.0,682450930.0,241341942.0
58,922226317.0,679916330.0,242309987.0
59,920608901.0,678973930.0,241634971.0
60,921415256.0,680377460.0,241037796.0
61,918800892.0,676423940.0,242376952.0
62,914052538.0,671850260.0,242202278.0
63,913152787.0,671906690.0,241246097.0
64,878564592.0,601509790.0,277054802.0
65,856306841.0,574066950.0,282239891.0
66,851083905.0,575628750.0,275455155.0
67,849643688.0,572514460.0,277129228.0
68,847821199.0,575812860.0,272008339.0
69,852902231.0,577464150.0,275438081.0
70,843692227.0,566331670.0,277360557.0
71,839474203.0,564350730.0,275123473.0
72,835938368.0,557662920.0,278275448.0
73,833082369.0,558038930.0,275043439.0
74,834065561.0,553164480.0,280901081.0
75,834306472.0,555951020.0,278355452.0
76,829106704.0,549992240.0,279114464.0
77,835332923.0,558111320.0,277221603.0
78,835471750.0,556534320.0,278937430.0
79,835229029.0,555826570.0,279402459.0
80,825055562.0,538990290.0,286065272.0
81,822014219.0,537607090.0,284407129.0
82,822028699.0,539807290.0,282221409.0
83,819237498.0,538418010.0,280819488.0
84,813881165.0,529978400.0,283902765.0
85,811754053.0,530176380.0,281577673.0
86,808024548.0,524020570.0,284003978.0
87,810076183.0,529165960.0,280910223.0
88,812519502.0,529936790.0,282582712.0
89,808846107.0,522855110.0,285990997.0
90,812192073.0,526679620.0,285512453.0
91,808787463.0,521520740.0,287266723.0
92,811585904.0,525306300.0,286279604.0
93,813319522.0,529988470.0,283331052.0
94,810923806.0,527730320.0,283193486.0
95,815977507.0,531726780.0,284250727.0
96,794005736.0,488465110.0,305540626.0
97,787082848.0,488275870.0,298806978.0
98,777910311.0,485465390.0,292444921.0
99,773391465.0,481393120.0,291998345.0
100,747205290.0,438216950.0,308988340.0
101,740781962.0,436308400.0,304473562.0
102,737977367.0,426063220.0,311914147.0
103,736456062.0,427821480.0,308634582.0
104,716950597.0,404941680.0,312008917.0
105,714413701.0,400467370.0,313946331.0
106,704406030.0,391026840.0,313379190.0
107,695335758.0,386560510.0,308775248.0
108,695567076.0,398812280.0,296754796.0
109,691394845.0,394090020.0,297304825.0
110,694691036.0,393115510.0,301575526.0
111,690212191.0,387866000.0,302346191.0
112,687181527.0,378362770.0,308818757.0
113,677984736.0,367097480.0,310887256.0
114,673324348.0,359958040.0,313366308.0
115,671008996.0,357913830.0,313095166.0
116,673893593.0,360528800.0,313364793.0
117,662755577.0,350770020.0,311985557.0
118,659850346.0,345535330.0,314315016.0
119,655118463.0,343089270.0,312029193.0
120,659149695.0,348570580.0,310579115.0
121,655564990.0,353349840.0,302215150.0
122,647846607.0,350293310.0,297553297.0
123,640024692.0,349182380.0,290842312.0
124,614615369.0,322900630.0,291714739.0
125,601520743.0,318704100.0,282816643.0
126,587371068.0,306223380.0,281147688.0
127,570634360.0,295151510.0,275482850.0
