id,energy_consumption,energy_effective,energy_waste
0,1067645675.0,775549410.0,292096265.0
1,1062617857.0,784808300.0,277809557.0
2,1062939675.0,789864770.0,273074905.0
3,1061174382.0,789222570.0,271951812.0
4,1059730726.0,782013970.0,277716756.0
5,1058831699.0,781533080.0,277298619.0
6,1054912506.0,772049230.0,282863276.0
7,1053880987.0,770772430.0,283108557.0
8,1048403565.0,765283900.0,283119665.0
9,1046026673.0,764765010.0,281261663.0
10,1045089455.0,761308150.0,283781305.0
11,1044641118.0,761742680.0,282898438.0
12,1044240746.0,761012890.0,283227856.0
13,1044206537.0,760588620.0,283617917.0
14,1045185928.0,760536560.0,284649368.0
15,1044149160.0,758617370.0,285531790.0
16,1037506098.0,755108450.0,282397648.0
17,1034818972.0,752570240.0,282248732.0
18,1034381495.0,752708560.0,281672935.0
19,1034354526.0,752937320.0,281417206.0
20,1036255569.0,760430160.0,275825409.0
21,1036256112.0,759856740.0,276399372.0
22,1036142444.0,759379650.0,276762794.0
23,1034077415.0,758720540.0,275356875.0
24,1031913741.0,751717710.0,280196031.0
25,1030314063.0,749566530.0,280747533.0
26,1030865570.0,749101790.0,281763780.0
27,1031101051.0,748609310.0,282491741.0
28,1031080417.0,748003590.0,283076827.0
29,1031080417.0,747746710.0,283333707.0
30,1031454363.0,749094000.0,282360363.0
31,1030922042.0,747588060.0,283333982.0
32,1019434515.0,716518500.0,302916015.0
33,1017953392.0,721106620.0,296846772.0
34,1014230403.0,724695340.0,289535063.0
35,1014115287.0,723965360.0,290149927.0
36,1010401529.0,703585960.0,306815569.0
37,1009175797.0,703920550.0,305255247.0
38,1008946108.0,703163210.0,305782898.0
39,1007134298.0,701937140.0,305197158.0
40,1003822360.0,701727760.0,302094600.0
41,1000951338.0,698869400.0,302081938.0
42,999664790.0,696614670.0,303050120.0
43,1000951338.0,697447820.0,303503518.0
44,1001211435.0,700980490.0,300230945.0
45,1001743394.0,702094080.0,299649314.0
46,997489532.0,700302190.0,297187342.0
47,997337854.0,698650330.0,298687524.0
48,992263881.0,689792340.0,302471541.0
49,991612824.0,689634450.0,301978374.0
50,992878738.0,690821380.0,302057358.0
51,993302640.0,691143620.0,302159020.0
52,986746639.0,686452520.0,300294119.0
53,985640186.0,685848890.0,299791296.0
54,983938424.0,683621520.0,300316904.0
55,980892556.0,680443580.0,300448976.0
56,982961748.0,683252920.0,299708828.0
57,981456371.0,682668860.0,298787511.0
58,981727328.0,681015480.0,300711848.0
59,982774956.0,683742930.0,299032026.0
60,979985927.0,679975420.0,300010507.0
61,979419940.0,678171750.0,301248190.0
62,978200905.0,675776800.0,302424105.0
63,978706438.0,676275360.0,302431078.0
64,947500047.0,588511320.0,358988727.0
65,928830983.0,572972930.0,355858053.0
66,922494535.0,574104760.0,348389775.0
67,920474213.0,574782110.0,345692103.0
68,916221980.0,555148650.0,361073330.0
69,913832780.0,552205170.0,361627610.0
70,912956559.0,542063730.0,370892829.0
71,909594303.0,545289360.0,364304943.0
72,900776707.0,538230100.0,362546607.0
73,898458459.0,539671060.0,358787399.0
74,893625940.0,536720360.0,356905580.0
75,892184999.0,537256540.0,354928459.0
76,894837011.0,535379530.0,359457481.0
77,894577638.0,534704650.0,359872988.0
78,892598584.0,536000070.0,356598514.0
79,890899175.0,533468700.0,357430475.0
80,869396013.0,505000240.0,364395773.0
81,862112211.0,500001910.0,362110301.0
82,863544464.0,501619570.0,361924894.0
83,861667494.0,504298760.0,357368734.0
84,859828172.0,506294710.0,353533462.0
85,858064689.0,505784750.0,352279939.0
86,855159458.0,501992540.0,353166918.0
87,853733178.0,500637840.0,353095338.0
88,852452784.0,496002410.0,356450374.0
89,850953923.0,494789070.0,356164853.0
90,853872186.0,496257010.0,357615176.0
91,853032165.0,494823270.0,358208895.0
92,850633010.0,492048130.0,358584880.0
93,849623935.0,491725320.0,357898615.0
94,846426932.0,491102690.0,355324242.0
95,845825831.0,489593140.0,356232691.0
96,840340626.0,464635500.0,375705126.0
97,838525558.0,466727590.0,371797968.0
98,833908067.0,459446790.0,374461277.0
99,832548938.0,459807220.0,372741718.0
100,803416807.0,415137270.0,388279537.0
101,790636940.0,410319820.0,380317120.0
102,784382304.0,396738050.0,387644254.0
103,776325451.0,393076370.0,383249081.0
104,773173517.0,382225470.0,390948047.0
105,766804851.0,378683110.0,388121741.0
106,763057246.0,377221630.0,385835616.0
107,756370382.0,369299390.0,387070992.0
108,743178559.0,353510390.0,389668169.0
109,742054368.0,353473530.0,388580838.0
110,742959730.0,354225740.0,388733990.0
111,735665249.0,346495210.0,389170039.0
112,726468458.0,335385910.0,391082548.0
113,718434954.0,325885530.0,392549424.0
114,708511086.0,324107700.0,384403386.0
115,707819666.0,324682450.0,383137216.0
116,698607671.0,315600450.0,383007221.0
117,692178551.0,313881520.0,378297031.0
118,684551211.0,305270340.0,379280871.0
119,680400700.0,299734500.0,380666200.0
120,670768423.0,295936020.0,374832403.0
121,665156880.0,292793990.0,372362890.0
122,655768229.0,289986740.0,365781489.0
123,649713960.0,288592140.0,361121820.0
124,638236026.0,281234580.0,357001446.0
125,629266933.0,280413590.0,348853343.0
126,615850670.0,274363230.0,341487440.0
127,602019736.0,272358730.0,329661006.0
